arrondissement_de_residence,quartier_de_residence
Douala (Non précisé),Village
Douala (Non précisé),DOUALA
Douala (Non précisé),Nyalla
Douala (Non précisé),Douala
Douala (Non précisé),Nyalla
Douala 3,Itba village
Douala (Non précisé),Village
Douala (Non précisé),Douala
Non précisé,Non précisé
Douala 5,Kotto
Douala 3,Ndogpassi 2
Douala 5,Bonamoussadi
Douala 6,bonaberi
Douala (Non précisé),Douala
Douala (Non précisé),Beedi
Douala (Non précisé),Logbaba jardin
Douala (Non précisé),Nyalla
Douala 5,Bonamoussadi
Douala (Non précisé),Douala
Douala 1,Deido
Douala 5,Bonamoussadi
Douala 5,bonamoussadi
Douala (Non précisé),MAKEPE
Douala 5,BEPANDA
Douala 3,Japoma
Douala 3,Cite de la paix
Douala (Non précisé),Pk9
Douala 5,Pk 11
Douala (Non précisé),Edea
Douala 3,harry
Douala (Non précisé),Ndogpassi 3
Douala (Non précisé),Essengue
Douala 5,CITE DES PALMIERS 
Douala 2,New bell
Douala 5,Kotto 
Douala (Non précisé),Douala
Douala 5,Bependa
Douala 3,Japoma
Douala 2,Newbell
Douala 2,Nkongmondo
Douala 5,Cité des palmiers
Douala 3,ndogpassi 2
Douala (Non précisé),Pihidibamba
Douala (Non précisé),LOGBABA
Douala 5,PK18
Douala (Non précisé),PK14
Douala (Non précisé),Logpom 
Douala (Non précisé),LOGPOM
Douala 3,LOGPOM
Douala 2,newbell
Douala (Non précisé),DEIDO
Douala (Non précisé),Douala
Douala 1,Deido
Douala 1,AKWA
Douala 3,Japoma
Douala (Non précisé),Cité Sic
Douala 3,Japoma
Douala 3,Texaco aéroport
Douala (Non précisé),Ndogpassi
Douala (Non précisé),Ngodi Bakoko
Non précisé,Non précisé
Douala 5,Cite sic
Douala 3,Japoma
Douala (Non précisé),Douala
Douala 1,BONABERI
Douala 4,Bonabéri 
Douala 1,Edea
Douala (Non précisé),PK21
Douala 2,Bonadouma-bonapriso
Douala (Non précisé),ANGE RAPHAEL CAMPUS 2
Douala (Non précisé),Douala
Douala 3,Ndogpassi 3
Douala (Non précisé),PK9
Douala (Non précisé),Douala
Douala 4,Bonaberie
Douala (Non précisé),R A S 
Douala 1,Deido
Non précisé,Pas precise
Douala 4,BONABERI
Douala 3,Yassa
Douala 5,PK9
Douala 3,Ndogpassi 2
Douala 5,Pk12
Douala 3,NDOGBASSI
Douala 4,BONALOKA
Douala 3,Yassa
Douala 3,Pk9
Douala 1,Akwa
Douala (Non précisé),Tradex borne 10
Douala 3,Ndogsimbi
Douala 2,Akwa-nord
Douala (Non précisé),Yassa
Douala 3,Japoma
Douala 3,Yassa
Douala 3,Boko-plage
Douala (Non précisé),Newton aéroport 
Douala 3,Logbaba
Douala 3,NYALLA PARISO
Douala (Non précisé),Bepanda
Douala 3,NYALLA
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 3,Logbaba
Douala (Non précisé),Douala 
Douala (Non précisé),Douala
Douala 5,pk10
Douala 3,Ndogpassi
Douala (Non précisé),Ndogpassi III
Douala (Non précisé),Douala
Douala 5,Makepe
Douala (Non précisé),Douala
Douala 3,logbessou
Douala (Non précisé),BONABERI
Douala (Non précisé),Logbessou 
Douala 3,village cogefar
Douala (Non précisé), R A S
Douala (Non précisé),Douala
Douala (Non précisé),PK11
Douala 3,Nyalla
Douala 2,BONALOKA
Douala 2,New bell
Douala 5,Cité sic
Douala 4,Bonaberie 
Douala (Non précisé),Nkomodo
Douala 3,Logbaba
Douala 5,Logbesou
Douala 2,New bell
Douala (Non précisé),Deido
Douala (Non précisé),Pk14
Douala (Non précisé),Ngodi Akwa
Douala 2,bonaberi
Douala 3,NDOGPASSI 2
Douala (Non précisé),DOUALA
Douala (Non précisé),Mbanga bakoko
Douala (Non précisé),Tergal
Douala (Non précisé),Yassa
Douala 3,Bonaberi
Douala (Non précisé),Ndogbong
Douala 5,Bassa
Douala 5,ANGE RAPHAEL
Douala 2,new bell
Douala (Non précisé),New-bell /nkouloulou
Douala (Non précisé),YASSA
Douala (Non précisé),Madagascar
Douala 1,Bonamoussadi
Douala (Non précisé),Douala
Édéa,Edea 
Douala (Non précisé),Pk15
Douala 3,Bependa Aeroport
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),Ndogbong
Douala (Non précisé),Makepe
Douala 2,DOUALA CCC
Douala (Non précisé),Douala CCC
Douala (Non précisé),NYALLA 
Douala (Non précisé),Bepanda
Douala 3,LOGBABA JARDIN
Douala (Non précisé),Douala
Douala 3,logbaba
Douala (Non précisé),Douala
Douala 3,YASSA
Douala (Non précisé),MISSOLE II
Douala 3,Nyalla
Douala (Non précisé),Douala
Douala (Non précisé),Nyalla pariso
Douala 5,CITE SIC
Douala (Non précisé),PK 25
Douala 3,YASSA
Douala (Non précisé),Brazzaville 
Douala 3,harry yassa
Non précisé,non precisé
Douala (Non précisé),Douala
Douala (Non précisé),Pas précisé 
Douala 2,Newbell
Édéa,Edea
Douala 1,Bonamoussadi
Douala 3,Ndogbong
Douala (Non précisé),KOTTO IMMEUBLE
Douala (Non précisé),Douala
Douala 2,New bell
Buéa,Buea
Douala 3,Ndogpassi 3
Douala (Non précisé),Ccc 
Douala (Non précisé),Ndogpassi
Douala (Non précisé),Kambo boko
Douala 3,Ndopassi
Douala (Non précisé),Douala
Douala (Non précisé),Boko plage
Douala (Non précisé),Ndokoti
Douala 3,Pk12
Douala 5,PK9
Douala 5,Kotto- chefferie
Douala 3,JAPOMA
Douala (Non précisé),Journaliste 
Douala (Non précisé),NYALLA PARISO
Douala (Non précisé),Nyalla
Douala 3,NYALLA
Douala 4,bonaberi
Douala 3,Nkolbon
Douala 5,pk9
Douala 3,Dongbang
Douala 5,Makepe 
Douala 1,deido
Douala (Non précisé),Bali
Douala 1,Bali
Douala 5,Axe lourd bependa
Douala 3,NDOGPOSSI
Douala 3,YASSA
Douala (Non précisé),MAKEPE
Douala (Non précisé),Cite de la paix
Douala 4,Bonabéri 
Douala 2,NEW BELL
Douala 3,Borne
Douala (Non précisé),Douala
Douala (Non précisé),NGODI
Douala 3,CONGEFAR
Douala (Non précisé),Brassaville
Douala (Non précisé),Douala
Douala 3,Dakar
Douala 3,YASSA
Douala 5,Beedi
Douala 2,NGODI BAKOKO
Douala 3,Yassa
Douala 3,Ndogbong
Douala 3,Ndogpassi
Douala 3,Japoma
Douala 3,Logbaba
Douala 3,Logbaba
Yaoundé,Yaoundé
Douala 3,YASSA
Douala 3,Yassa
Douala (Non précisé),Ekithe 
Douala 3,Japoma
Douala (Non précisé),Douala
Douala (Non précisé),Non précisé
Douala (Non précisé),Bakoko
Douala (Non précisé),Logbaba
Douala (Non précisé),douala
Douala (Non précisé),PK13 BASSA
Douala 3,Dogbassi
Douala 5,Makepe
Douala (Non précisé),NON PRECISE
Douala 1,Deido
Douala 3, BONAORISSO
Non précisé,CONGO
Douala 3,NDOGPASSI
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Yassa
Douala (Non précisé),Douala
Douala 3,logbaba
Douala (Non précisé),DOUALA
Douala 3,Yassa
Douala 3,Nyalla
Douala 3,Yassa
Douala (Non précisé),Dakar
Douala (Non précisé),Douala
Douala (Non précisé),RAS
Douala (Non précisé),NDOGPASSI 3
Douala (Non précisé),Ndogbong
Douala (Non précisé),Non precisé
Douala (Non précisé),Village
Douala 5,Bepanda
Douala 2,NEW-BELL
Douala (Non précisé),BONABERI
Douala (Non précisé),Douala
Douala (Non précisé),Pk12
Douala 5,Beedi
Douala (Non précisé),cité Sic
Douala (Non précisé),Nkomondo
Douala (Non précisé),Douala
Douala (Non précisé),NDONGBONG
Douala (Non précisé),NDOGBONG
Buéa,Buea
Douala 4,BONABERI
Douala (Non précisé),Bependa
Douala (Non précisé),Ngodi- Akwa
Douala (Non précisé),Douala
Douala 3,Ndogpassi
Douala (Non précisé),Pk15
Douala (Non précisé),Song mahop
Douala (Non précisé),Pk14
Douala 5,Logbessou
Douala 5,Logbessou
Douala (Non précisé),Douala
Douala 3,Ndogpassi 3
Douala (Non précisé),BONATEKI DEIDO
Douala (Non précisé),Cité sic
Douala 3,Logbaba
Douala 5,ange Raphaël
Douala (Non précisé),Pk14
Douala (Non précisé),Makepe
Dschang,Dschang
Yaoundé,Nkolmesseng
Douala (Non précisé),Ndokoti
Douala (Non précisé),NKONGMONDO
Douala 2,Douala Newbell
Douala (Non précisé),Douala
Douala (Non précisé),MBANGO
Douala (Non précisé),CITEE DES PALMIERS
Douala (Non précisé),Madagascar
Douala (Non précisé),Bepanda
Douala (Non précisé),RAS
Douala (Non précisé),Nkolbong
Douala (Non précisé),Bepanda Omnisport
Douala 2,bonaberi
Douala (Non précisé),Douala douala
Douala (Non précisé),Pk8
Douala (Non précisé),Pk10
Douala (Non précisé),DAKAR
Douala 4,Bonaberi
Douala 1,Newton aéroport
Douala (Non précisé),Village
Douala (Non précisé),Douala
Douala (Non précisé),Logbaba st thomad
Douala 3,DIBOM III
Douala 3,Madagascar
Douala (Non précisé),Yassa
Douala 3,YASSA
Douala 2,Ndogpassi
Douala 4,Bonaberi
Douala 3,Yassa
Bomono Ba Mbègué,Bomono Ba Mbengue
Douala 3,Bepanda
Douala 3,New Ton Aeroport
Douala (Non précisé),Douala 
Buéa,Ambiance
Douala 5,Bonamoussadi 
Douala (Non précisé),Ange rafael
Douala (Non précisé),NDOGPASSI 
Douala (Non précisé),Pk14
Douala 5,Pk8
Douala (Non précisé),Hôpital général
Douala (Non précisé),Makepe
Douala 5,cite cicam
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Bependa
Douala 5,PK12
Non précisé,Pas precisé
Douala 3,YASSA
Douala 3,Yassa
Douala 5,bonamoussadi
Douala (Non précisé),CITE SIC
Douala 5,Makepe
Douala 2,Bali
Douala (Non précisé),Douala
Douala (Non précisé),JAPOMA
Douala (Non précisé),Logbessou
Douala (Non précisé),Cité cicam
Douala 5,PK9
Édéa,Edea
Douala (Non précisé),Douala
Douala (Non précisé),Bali
Douala (Non précisé),She’ll village 
Édéa,Edea
Douala 3,pk10
Douala 3,Dakar
Édéa,Édea
Douala (Non précisé),Japoma
Douala 3,Logbaba
Douala 3,beedi
Douala (Non précisé),Beedi
Douala 5,Ndogbong
Douala 3,Ngodi bakoko
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),Logbaba
Douala 4,Bonabéri Grand-hangar
Douala (Non précisé),Pk12
Douala (Non précisé),Douala(non) précisé
Douala 3,Nyalla
Douala (Non précisé),BONENDALE
Douala (Non précisé),Kotto
Douala 3,Village
Douala 3,NGODI BAKOKO
Douala (Non précisé),Bepanda
Douala 3,Cité des palmiers
Douala (Non précisé),PK12
Douala (Non précisé),Boko
Yaoundé,Yaounde
Douala (Non précisé),Ange Raphaël
Douala 5,Makepe
Douala 5,Bepanda
Douala (Non précisé),Non precisé
Douala 3,Cité des palmiers
Douala (Non précisé),Douala
Douala (Non précisé),Ndogbong
Douala (Non précisé),BONA PRISO GOUPWE
Douala (Non précisé),Bependa
Douala 3,Ndogpassi
Douala 3,Village
Douala 5,Makepe
Douala,Douala
Douala (Non précisé),Pk12
Douala (Non précisé),COGEFAR
Douala 4,Pk10
Douala 3,Logbaba
Douala 3,logbaba
Douala (Non précisé),Beedi
Douala (Non précisé),Bependa
Douala 3,Yassa
Douala (Non précisé),Pk11
Douala (Non précisé),Pk13
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 4,BONABERI
Douala (Non précisé),Japouma 
Douala (Non précisé),Douala
Douala 5,Makepe missoke
Douala (Non précisé),MAKEPE
Douala 3,CITE DES PALMIERS
Douala (Non précisé),Pk10
Douala (Non précisé),Makepe
Douala (Non précisé),Douala
Douala (Non précisé),Oyack
Douala 3,Logbaba
Douala (Non précisé),douala
Douala 2,CARREFOUR AGIP
Douala (Non précisé),Non précisé
Douala (Non précisé),Bilongue
Douala (Non précisé),AKWA NORD
Douala (Non précisé),douala
Douala 2,Nkongmondo
Douala (Non précisé),Pk11
Douala 1,Bonapriso
Douala 5,Logpom
Douala (Non précisé),Ngodi Bakoko
Douala 5,Pl12
Douala (Non précisé),Makepe
Douala (Non précisé),New bell 
Douala 2,BONABERIE
Douala 5,Bonamousadi
Douala (Non précisé),Bonamoussadi
Douala 4,Bonaberie
Douala 3,Ndogpassi
Douala 3,TOTAL AEROPORT
Douala (Non précisé),Logpom
Douala (Non précisé),Ange rafael
Douala 3,Ndogbon 
Douala 3,akwa nord
Douala (Non précisé),Logbaba plateau
Non précisé,RAS
Douala 3,NYALLA
Douala 3,YASSA
Douala (Non précisé),Yassa
Douala (Non précisé),VILLAGE
Douala (Non précisé),Non précisé
Douala 5,BEPANDA
Douala 3,Entrée chinois
Non précisé,Pas précisé
Douala (Non précisé),NDOGPASSI 
Douala (Non précisé),Pk8
Douala 3,Logbaba
Douala (Non précisé),JAPOMA
Douala (Non précisé),NYALLA
Douala (Non précisé),LOGPOM
Douala 5,PK13
Douala 5,BONAMOUSSADI
Douala 3,Village
Douala 5,New-deido
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),MAKEPE
Douala 3,NYASSA
Douala 3,Village entrée Lycée
Douala (Non précisé),QUARYIER ESPOIR
Douala (Non précisé),PK10
Douala 3,Nyalla pariso
Douala (Non précisé),Douala
Douala 5,PK8
Douala (Non précisé),Pk8
Douala 5,Pk8
Douala 3,Yassa
Douala (Non précisé),Shele village
Douala 5,Bonaberi
Douala (Non précisé),Douala non précisé
Douala 1,Deido
Douala 3,Logbaba
Douala 3,Douala newtown  Aéroport 
Dikongmondo,RAS
Douala (Non précisé),Cité des palmiers
Douala (Non précisé),Nyalla
Douala (Non précisé),Cité de palmiers
Douala (Non précisé),Ndogssimbi
Douala (Non précisé),Bonadiwoto
Douala (Non précisé),Ndokoti
Douala (Non précisé),Tradex village
Douala 2,New bell
Douala (Non précisé),Deido
Douala 3,Oyack
Douala (Non précisé),Douala
Douala (Non précisé),DEIDO
Douala (Non précisé),Douala
Douala (Non précisé),R A S
Douala (Non précisé),Douala
Douala 3,Tradex village
Douala 5,pk10
Douala 5,PK10
Douala (Non précisé),NEW BELL BASSA
Douala (Non précisé),Douala
Douala (Non précisé),DOUALA
Douala 5,NDOGBONG
Douala (Non précisé),Ngodi
Douala (Non précisé),VILLAGE MARCHE
Édéa,Nkong mondo
Douala 4,Bonaberi
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala 1,Akoua
Douala (Non précisé),Ange Raphaël
Douala 3,Ndokoti 
Douala (Non précisé),Douala
Douala (Non précisé),DOUALA
Limbe,LIMBE
Douala 3,Oyack
Douala 5,Bonamoussadi
Douala 2,New Bell Bassa
Douala (Non précisé),Bonadoumbe
Douala (Non précisé),Akwa nord
Douala 3,Logpom
Douala 3,VILLOAGE MARCHE
Douala 3,Nyala
Douala 2,New bell
Douala 1,Deido
Douala 4,Bonabeerie
Douala 2,New bell
Douala (Non précisé),Douala
Douala (Non précisé),Logbessou
Douala 3,Parisot nyalla
Douala (Non précisé),Pk10
Douala (Non précisé),DEIDO
Douala (Non précisé),Bonamoussadi
Douala 3,Village
Douala 4,Bonaberi
Douala 1,deido
Douala 2,Pk5
Non précisé,Non précisé
Douala 3,Pk9 
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),CITE CICAM
Douala 1,Bali
Douala 3,LOGBABA
Douala (Non précisé),Kotto
Douala (Non précisé),BONABERI
Douala (Non précisé),Henry 
Douala (Non précisé),douala
Douala 4,Bonaberie
Douala (Non précisé),NKONGMONDO
Douala (Non précisé),Village
Douala (Non précisé),Village
Douala (Non précisé),Douala
Douala (Non précisé),Newbell
Douala 2,Bali
Douala 4,Bonaberi
Douala (Non précisé),Sic cacao
Douala 1,Akwa
Douala (Non précisé),Akwa
Douala 3,Nyalla 
Douala (Non précisé),Brazaville
Douala 5,Dakar
Douala (Non précisé),Cite de cille
Douala 3,Village
Douala 5,Bilongue
Douala 2,NKONG-MONDO
Douala (Non précisé),Logbessou 
Douala 3,Beedi malangue
Douala (Non précisé),NKONGUONDO
Douala 3,Nyalla
Douala (Non précisé),douala
Douala (Non précisé),Douala
Douala 5,Cité sic
Douala (Non précisé),Ngodi
Douala (Non précisé),Pas mentionné
Douala (Non précisé),Makepe
Douala (Non précisé),DOUALA
Douala (Non précisé),NGODI AKWA
Non précisé,Ras
Douala 3,Ndogpassi 2
Douala (Non précisé),Bepanda
Douala 4,Dibombari
Non précisé,Non précisé
Douala (Non précisé),Douala
Douala 3,LOG-BABA
Douala (Non précisé),Makepe
Douala 3,Nyalla
Douala (Non précisé),Douala
Douala (Non précisé),New priso
Douala 4,Bonaberi
Douala (Non précisé),DOUALA
Douala 2,Bonapriso
Douala 3,OYACK
Douala 1,bali
Douala (Non précisé),Cite Berge
Douala (Non précisé),Yansoki bakoko
Douala 3,ndogpassi
Non précisé,RAS
Douala 3,Douala-zone de Reeassement
Douala (Non précisé),Yassa
Douala (Non précisé),Bependa
Douala 3,Nyalla
Douala (Non précisé),douala
Douala 3,Yassa
Douala (Non précisé),Ndogpassi3
Douala (Non précisé),Douala
Douala 3,TERGAL
Douala 3,Boko
Non précisé,Pas précisé
Douala (Non précisé),Douala
Douala 1,Deido 
Douala (Non précisé),Yatika
Yaoundé,Damas
Douala (Non précisé),NDOGPASSI 2
Douala (Non précisé),Ndogpassi 
Douala (Non précisé),DOUALA
Douala 3,Bilongue
Douala 4,BONABERI
Douala 3,Bilongue
Douala (Non précisé),Cité belge
Douala 5,Logpom
Douala 5,New Bell
Douala (Non précisé),Ndogpassi
Douala 3,Brazzaville
Douala (Non précisé),Douala
Douala (Non précisé),Non précisé
Douala 3,Nyalla
Douala 3,Ndogpassi 3
Douala (Non précisé),DEIDO
Douala (Non précisé),Bependa
Douala 3,Ndogpassi II
Douala 3,Ndogpassi
Douala (Non précisé),Douala 
Douala (Non précisé),Mbangopongo
Douala (Non précisé),Pk11
Douala (Non précisé),BONATEKI DEIDO
Douala (Non précisé),Nyalla pariazo
Douala 5,TRADEX KOTTO
Douala (Non précisé),Ndogpassi
Douala (Non précisé),PK21
Douala (Non précisé),Nyalla
Douala 5,Malangue
Douala (Non précisé),Douala
Douala (Non précisé),Village
Douala 3,Ndogpassi 3
Douala 3,Ndogpass 3
Douala (Non précisé),Pk16
Non précisé,Pas précisé 
Douala (Non précisé),Pk12
Douala 3,Bependa
Douala (Non précisé),Yassa 
Douala 1,Bonapriso
Douala (Non précisé),Douala
Douala (Non précisé),VILLAGE
Douala 5,Boko
Deïdo,Deido
Douala (Non précisé),New-Bell
Douala 5,LOGPOM
Douala 5,Pk15 
Douala 3,Douala
Douala 5,kotto
Douala 5,Logpom
Douala (Non précisé),Cogefar
Douala (Non précisé),Kambo boko
Douala 5,PK 10
Douala 3,Ndogpassi II
Douala 3,Douala Ndogpassi
Douala 5,Logbesou
Douala (Non précisé),Japoma
Douala (Non précisé),Dibombari
Non précisé,Non précisé
Douala (Non précisé),Ange rafael
Douala 5,Logpom
Douala 5,ndogbong
Douala (Non précisé),Dakar
Douala (Non précisé),Village
Douala (Non précisé),Pk11
Douala (Non précisé),Pk8
Douala (Non précisé),Douala
Douala 3,Yassa
Douala 5,Kotto
Douala 3,YASSA
Non précisé,Aucun
Douala 2,tergale
Douala 2,New Bell
Douala 3,YASSA
Douala (Non précisé),DAKAR
Douala (Non précisé),Pk16
Non précisé,R A S
Douala (Non précisé),Cite sic
Douala (Non précisé),BONAMOUSSADI
Douala 3,Logbaba
Douala 3,New bell
Douala (Non précisé),Saint Thomas logbaba 
Douala (Non précisé),Yassa
Douala 3,Logbaba
Douala 3,Ndogpassi 2
Douala 3,Village
Douala 2,Newbell
Douala (Non précisé),Non précisé
Douala 3,ngodi bakoko
Douala (Non précisé),Douala
Douala 5,Bepanda
Douala 3,Bilongue
Douala (Non précisé),Bessengue
Douala 5,New Bell
Douala (Non précisé),Bali
Douala (Non précisé),Bali
Douala (Non précisé),Douala
Douala (Non précisé),Bali
Douala 5,Pk14
Douala (Non précisé),Ngodi
Douala (Non précisé),Bonaberie
Douala (Non précisé),Bependa
Douala (Non précisé),Douala
Douala 3,Ndogbong
Douala 5,logpom
Douala (Non précisé),Pk12
Douala (Non précisé),Makepe
Douala (Non précisé),Yassa
Douala (Non précisé),Pk12
Douala (Non précisé),Songogan bloc 11
Douala (Non précisé),Village 
Douala 3,NYALLA
Douala 3,Bakie Ndagpassi
Sud-Ouest Tombel,Tombel
Douala (Non précisé),Pk11
Douala (Non précisé),Logbessou
Douala (Non précisé),Logbessou
Douala 5,Kotto
Douala 5,Bepanda
Yaoundé,Mbanga
Douala 3,Nyalla
Yaoundé,MBALLA 2
Douala (Non précisé),Bonamoussadi
Non précisé,Pas mentionné
Douala 5,New Bell
Douala 3,Cite cic
Douala 5,Bonamoussadi
Douala 5,Bonamoussadi
Douala (Non précisé),Douala
Douala (Non précisé),Jardin ndogmbe
Douala (Non précisé),NDOBASSI 2
Douala (Non précisé),RAS
Douala (Non précisé),Douala
Douala 5,Bependa omnisport
Douala 5,Sic cacao
Douala (Non précisé),Ngodi
Douala (Non précisé),Douala 
Douala 3,Makepe
Douala 2,Nkomondo
Douala (Non précisé),Pas precisé
Douala 3,Village marché
Douala (Non précisé),Pas precise
Douala (Non précisé),DOUALA
Douala 2,youpwe
Douala (Non précisé),MAKEPE
Douala (Non précisé),Nouvelle route cité sic
Douala (Non précisé),Pas precise
Douala (Non précisé),Pk17
Douala (Non précisé),Newbell
Douala 3,Ndogpassi
Douala 1,Deido 
Douala 3,Village 
Douala (Non précisé),Ange rafael
Douala 3,village
Douala 5,BEPENDA
Douala 3,Logbaba
Douala (Non précisé),BEPENDA
Douala 3,Pk 8 Entrée Laïque
Douala (Non précisé),Pas precise
Douala (Non précisé),Bonamoussadi
Douala (Non précisé),Ange rafael
Douala 5,pk10
Douala (Non précisé),Pk8
Douala (Non précisé),Village
Douala 5,Bepanda
Douala 5,Pk 16
Douala 5,Logpom
Douala 3,Nyalla pariso
Douala 1,Déido
Douala 3,YASSA
Douala (Non précisé),Nyalla
Douala (Non précisé),Mboko
Douala (Non précisé),PK11 MBENGUE CITY
Douala (Non précisé),Douala
Douala 3,Yassa
Douala (Non précisé),Ndogpassi
Douala 5,Logpom
Douala 3,Ndogpassi 3
Douala (Non précisé),Bonaberi
Douala (Non précisé),BOKO
Douala (Non précisé),Pas precise
Douala (Non précisé),Tradex borne 10
Douala (Non précisé),Douala
Douala 3,Ndogpassi 3
Douala (Non précisé),Ndogpassi I 
Douala 4,Pk13
Douala 3,Ari
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Newbell
Douala (Non précisé),Douala
Douala 3,Ngodi bakoko
Douala 3,Nyalla
Douala 5,Bependa
Douala (Non précisé),Douala
Douala 3,Yassa
Douala 5,PK9
Douala (Non précisé),Douala
Douala 5,Kotto
Douala 3,SOUBOUN
Douala (Non précisé),Douala
Douala (Non précisé),Douala
Douala (Non précisé),Pk8
Douala (Non précisé),BONABERI
Douala 5,New Bell
Douala 4,BONABERI NDOBO
Yaoundé,Yaoundé
Douala (Non précisé),Cité des palmiers
Douala 4,Bonaberi
Douala 3,Boko
Douala 3,NDOG PASSI 3
Douala 5,Sic cacao
Douala 5,BEPANDA
Douala 5,Dakar
Douala 3,Logbaba
Douala 3,NYALLA
Douala 3,ARI Village 
Douala 3,Japoma
Douala (Non précisé), Cité sic
Douala (Non précisé),Non précisé
Douala (Non précisé),Bepanda
Douala 3,DOUALA
Douala 3,CITE DES PALMIERS
Douala (Non précisé),Douala 
Douala 3,YASSA
Douala 2,Bonapriso
Douala (Non précisé),YOUPWE
Douala 3,Nono plage
Douala 3,Nylon
Douala (Non précisé),Ipd
Douala (Non précisé),Ngodi bonomo
Douala 1,Deido
Douala 2,COGEFAR
Douala (Non précisé),Kotto
Douala (Non précisé),douala
Douala 2,Bois de singe
Douala 1,Bonadibong
Douala (Non précisé),Village
Douala 1,Bonadibong
Douala (Non précisé),Douala
Douala (Non précisé),Oyack
Douala (Non précisé),Japoma
Douala (Non précisé),Nglon
Douala (Non précisé),NDOGPASSI
Douala (Non précisé),Ndogpassi
Douala (Non précisé),NDOG-PASSI
Douala (Non précisé),NDOGPASSI
Douala 5,Pk23
Douala (Non précisé),Kotto
Douala 4,Bonaberie
Douala 3,Bependa
Yaoundé,Bastos
Douala 3,Ndogbong
Douala (Non précisé),Pk14
Douala (Non précisé),Cite des palmiers
Douala (Non précisé),Douala douala
Douala 3,PK16 NSAPE
